Content,author,published_date
"#Watch | #Coronavirus: China death toll surpasses 1,600@krishnaksays walks you through the report! pic.twitter.com/sROvGsA3eS",WION,"Sun, 16 Feb 2020 15:00:00 GMT"
Unexpected February snow in #Wuhan as city remains on lockdown#coronavirus pic.twitter.com/owLhLu4afk,RT,"Sun, 16 Feb 2020 09:40:00 GMT"
"#Coronavirus may have hit Hong Kong, protests may have decreased, but we will not forget the day police rushed into a train station and attacked citizens indiscriminately.We would never forget nor forgive.#HKPoliceBrutality #HKPoliceTerroristspic.twitter.com/GkJtf7sbum",凍檸茶少冰 &nbsp;😷&nbsp;🇭🇰,"Sun, 16 Feb 2020 14:47:47 GMT"
Coping with Stress @WHO #Coronavirus pic.twitter.com/m4NJjLrXp0,Phelisters Wegesa&nbsp;🇹🇿,"Sun, 16 Feb 2020 14:58:41 GMT"
"🔴 ""Les traités de libre-échange sont le virus mortel de la globalisation""➡️Mon avis sur le traité de libre-échange #UE - #Vietnam #Bruxelles #Coronavirus pic.twitter.com/03Oa8dMYx0",Hervé Juvin,"Sun, 16 Feb 2020 10:21:38 GMT"
"#Chine - L'hôpital #Huoshenshan appelé ""Vulcan Mountain"" construit  en 7 jours (Hôpital de 1000 lits) est inondé. Il y a de multiples fuites. #coronavirus #COVID19 pic.twitter.com/6l7e3mXZX1",Ⓝ &nbsp;ⓂⒺⓃⒶ·۰•●○,"Sun, 16 Feb 2020 08:51:40 GMT"
"#Coronavirus 1 cas confirmé en #Egypte et le racisme anti-asiatique s'affiche sans complexe sur la porte d'un des plus célèbres resto chinois du Caire: ""Interdit d'entrer aux chinois""  / ""N'ayez pas peur, nous sommes tous égyptiens ici"" https://t.co/kFfazPcqN9",Ariane Lavrilleux,"Sun, 16 Feb 2020 06:34:21 GMT"
Is it all ok ? #coronavirus #SARSCoV2 pic.twitter.com/kYYjijdeiD,𝕋𝕙𝕚𝕖𝕣𝕣𝕪 𝕁. 𝔽. 𝕋𝕙𝕠𝕟𝕟𝕒𝕥𝕥𝕖,"Sun, 16 Feb 2020 13:16:56 GMT"
"When HKers call for a complete border closure to stop visitors from China, HK gov decided to welcome them by waiving toll fees of Hong Kong-Zhuhai-Macau Bridge until the epidemic ends. End? How?! HK is ruled/ruined by brainless puppets! #CoronavirusOutbreak #coronavirus pic.twitter.com/PF7ih4l6Uc",jo &nbsp;😷,"Sun, 16 Feb 2020 13:38:46 GMT"
Other countries.              China withWith sick people.           Sick people#coronavirus pic.twitter.com/fZgarvT1UY,KidObesity,"Sun, 16 Feb 2020 14:30:30 GMT"
"🇨🇳 FLASH - Lutte contre le #coronavirus : l'hôpital ""Montagne volcanique"" construit en quelques jours à #Wuhan est déjà délabré avec de nombreuses fuites d'eau signalées et des inondations locales notamment dans les chambres des patients. #COVID19  pic.twitter.com/uyFstFxTku",Conflits,"Sun, 16 Feb 2020 13:35:37 GMT"
En empêchant le tourisme des pays asiatiques on empêche tout simplement la propagation du virus. Sauf que comme on est dirigé par des Picsou en puissance on prend le risque d'une épidémie en France. Quelle belle bande de cons. #coronavirus,Лео,"Sun, 16 Feb 2020 07:26:16 GMT"
"♦️#Wuhan ♦️11 millions d’habitants toujours sous quarantaine,hôpitaux,gymnases,et lieux divers sont pleins à craquer de patients +ou - soignésCombien de personnes atteintes du #coronavirus combien de mortsle saurons-nous un jour❓Levons-nous pour Wuhanpic.twitter.com/dA82psK8HE",Maurice Martin &nbsp;♦️,"Sun, 16 Feb 2020 13:10:48 GMT"
"🇫🇷 EPIDEMIE - À #Oyonnax en #France, une fille affirme avoir été tabassée dans son lycée car des élèves croyaient qu’elle avait le #coronavirus. Merci de relayer cet acte honteux. #COVID19 #COVID2019 pic.twitter.com/2uQUZ6hU7r",Conflits,"Sun, 16 Feb 2020 11:28:45 GMT"
